state,abbr,sizeSquareMiles,divisionOneSchools,firearmsMortalityRate,firearmsDeaths,kidneyDiseaseMortalityRate,kidneyDiseaseDeaths
Alabama,AL,52419,9,21.8,1064,17.3,1037
Alaska,AK,663267,0,21,155,8.1,46
Arizona,AZ,113998,3,15.3,1147,7.5,681
Arkansas,AR,53179,5,18.9,573,18.4,689
California,CA,163696,24,7.5,3040,8.8,3917
Colorado,CO,104094,5,15.2,889,8,469
Connecticut,CT,5543,7,4.9,186,12.2,612
Delaware,DE,2489,2,11.6,107,16.3,209
Florida,FL,65755,13,12.9,2902,9.7,3133
Georgia,GA,59425,7,15.7,1680,18.5,2006
Hawaii,HI,10931,1,4,59,8.8,183
Idaho,ID,83570,3,16.6,294,7.5,150
Illinois,IL,57914,13,10.9,1382,17,2644
Indiana,IN,36418,10,14.7,977,17.6,1412
Iowa,IA,56272,4,8.7,282,9.1,388
Kansas,KS,82277,3,14.8,424,15.4,553
Kentucky,KY,40409,7,16.9,762,18.7,1007
Louisiana,LA,51840,12,21.4,991,21,1127
Maine,ME,35385,1,10.3,159,12.5,258
Maryland,MD,12407,9,11.7,707,11.9,844
Massachusetts,MA,10555,6,3.5,258,13.1,1175
Michigan,MI,96716,7,12.9,1310,15,1945
Minnesota,MN,86939,1,7.8,437,8.5,598
Mississippi,MS,48430,6,22.9,681,22.2,786
Missouri,MO,69704,5,21.5,1311,19.1,1503
Montana,MT,147042,2,17.3,186,10.3,151
Nebraska,NE,77354,3,9,183,9.6,230
Nevada,NV,110561,2,17.9,550,8.9,292
New Hampshire,NH,9350,2,10.8,155,10,191
New Jersey,NJ,8721,8,4.8,420,14.6,1672
New Mexico,NM,121589,2,20.7,438,12.3,330
New York,NY,54556,22,4.1,821,9.4,2411
North Carolina,NC,53819,18,13.3,1416,15.6,1936
North Dakota,ND,70700,2,11.5,89,12.1,117
Ohio,OH,44825,13,13.1,1555,14.5,2202
Oklahoma,OK,69898,4,16.8,665,9.7,453
Oregon,OR,98381,4,11.7,519,7.4,395
Pennsylvania,PA,46055,14,12.5,1654,15.8,2921
Rhode Island,RI,1545,4,3.3,37,9.5,143
South Carolina,SC,32020,12,17.6,895,15.6,985
South Dakota,SD,77117,2,13.6,117,6.3,71
Tennessee,TN,42143,12,17.8,1228,14.3,1143
Texas,TX,268581,21,12.2,3522,16.4,4529
Utah,UT,84899,6,13.2,397,13.1,335
Vermont,VT,9614,1,12.8,82,2.2,20
Virginia,VA,42774,14,11.8,1035,15.9,1566
Washington,WA,71300,5,10.4,809,4.8,409
West Virginia,WV,24230,2,18.2,343,19.3,493
Wisconsin,WI,65498,4,10.1,598,12.2,914
Wyoming,WY,97814,1,21.5,124,8.2,56